"cid","ROUTE_NUMB","AADT","StreetImageryDate","MedianType","SecondaryAttribute","MedianWidth","RoadsideBarrier","MedianNotes","Latitude","Longitude"
176,89,2400,2022-10-01,"no median",NA,NA,NA,NA,39.7102936886029,-120.532221102822
125,89,2400,2022-10-01,"no median",NA,NA,NA,NA,39.7137065078491,-120.533905220949
3524,49,660,2022-10-01,"no median",NA,NA,NA,NA,39.7224146702009,-120.216193886838
2823,49,660,2022-11-01,"no median",NA,NA,NA,NA,39.7226388136304,-120.216000241218
775,49,660,2022-10-01,"no median",NA,NA,"cable",NA,39.7298153999608,-120.211952068033
601,49,660,2022-10-01,"no median",NA,NA,"cable",NA,39.7442918337012,-120.211940720388
876,49,660,2022-10-01,"no median",NA,NA,"cable",NA,39.7537562719344,-120.211393244603
155,49,1000,2022-10-01,"no median",NA,NA,"cable","both sides",39.7724111969193,-120.206512190385
3622,49,1000,2022-10-01,"no median",NA,NA,"cable",NA,39.7733817974321,-120.205896025281
532,49,1000,2022-10-01,"no median",NA,NA,"cable",NA,39.7747647667806,-120.204372472112
3160,49,1000,2022-10-01,"no median",NA,NA,NA,NA,39.7868740751785,-120.188929404768
2144,49,1000,2022-10-01,"no median",NA,NA,"cable","both sides",39.7940300751279,-120.17986401821
1160,49,1000,2022-10-01,"no median","intersection",NA,"cable","t-junction, no break in median",39.8015950912405,-120.178211059793
1424,49,1000,2022-10-01,"no median",NA,NA,"cable",NA,39.8030671861018,-120.178190442835
393,395,9400,2023-11-01,"vegetative","grass","40-50 meters","cable","break?",39.7087894106029,-120.034613858942
2373,395,9400,2024-08-01,"vegetative","sparse shrubs/trees","30-40 meters",NA,NA,39.713284104378,-120.036047261372
1714,395,9400,2024-08-01,"vegetative","grass","40-50 meters","cable",NA,39.7227609667453,-120.037797801627
243,395,9400,2023-11-01,"vegetative","grass","40-50 meters","cable","both sides",39.7232084361205,-120.037836607373
3840,395,9400,2024-08-01,"vegetative","grass, break in median","40-50 meters",NA,NA,39.7322069266085,-120.03844512824
1504,395,9400,2023-11-01,"vegetative","grass","30-40 meters",NA,NA,39.7353601934182,-120.038657734267
1662,395,9400,2024-08-01,"vegetative","grass","40-50 meters","cable",NA,39.7623237470434,-120.038637761224
3446,395,9400,2024-08-01,"vegetative","grass","40-50 meters","cable","one side",39.7632252670325,-120.038604903593
2232,395,9400,2024-08-01,"vegetative","grass","30-40 meters",NA,NA,39.7681125958197,-120.038485843247
193,395,9400,2023-11-01,"vegetative","grass","40-50 meters",NA,NA,39.7736529790018,-120.038350058209
1508,395,9400,2023-11-01,"vegetative","grass, On/off ramp","40-50 meters",NA,NA,39.7743946678797,-120.038344334024
3555,395,6300,2023-11-01,"vegetative","grass","30-40 meters",NA,NA,39.7768617690555,-120.03826785118
32,395,9400,2023-11-01,"vegetative","sparse shrubs/trees","40-50 meters","cable",NA,39.7193075826788,-120.038214301948
1605,395,9400,2024-08-01,"vegetative","sparse shrubs/trees","40-50 meters","cable, tall fence",NA,39.7193611732796,-120.038219426285
488,395,9400,2023-11-01,"vegetative","sparse shrubs/trees","40-50 meters",NA,NA,39.7512678289472,-120.039554795417
3671,395,9400,2024-08-01,"vegetative","grass, break in median","40-50 meters",NA,NA,39.7624038316715,-120.039280778285
941,395,9400,2023-11-01,"vegetative","grass","40-50 meters",NA,NA,39.7681524312897,-120.0391530143
1443,89,2400,2022-10-01,"no median","pull-out",NA,NA,NA,39.7239497212027,-120.543375279046
3448,89,2400,2022-10-01,"no median",NA,NA,"cable","one side",39.7328633300787,-120.561512394182
2325,89,2400,2023-11-01,"no median",NA,NA,"cable","both sides",39.7330042331589,-120.563934922259
3649,89,2400,2022-10-01,"no median",NA,NA,"cable, short fence","one side only",39.745038864552,-120.589721805617
1044,89,2400,2022-10-01,"no median",NA,NA,"cable",NA,39.7461634074154,-120.590612219878
2321,89,2400,2022-10-01,"no median",NA,NA,NA,NA,39.7479258978619,-120.592062434234
3069,89,2400,2022-10-01,"no median",NA,NA,NA,NA,39.7498481510714,-120.595113635186
57,89,2400,2022-10-01,"no median",NA,NA,NA,NA,39.7555950842458,-120.600275587249
3386,89,2400,2022-10-01,"no median",NA,NA,NA,NA,39.7560678704359,-120.60095489825
1730,89,2400,2022-10-01,"no median",NA,NA,"thrie beam",NA,39.7577048452025,-120.602645302639
1943,89,2400,2022-10-01,"no median",NA,NA,NA,NA,39.7581740790706,-120.603070157662
3580,89,2400,2024-07-01,"no median",NA,NA,NA,NA,39.7619709933667,-120.610686559237
153,89,2400,2022-10-01,"no median",NA,NA,NA,NA,39.7623449269768,-120.611975464896
570,89,3175,2022-10-01,"no median",NA,NA,NA,NA,39.7627252799477,-120.613663163224
2897,89,3175,2022-10-01,"no median",NA,NA,NA,NA,39.7633594656668,-120.614783708601
2275,89,3175,2022-10-01,"no median",NA,NA,NA,NA,39.7705450299292,-120.619834564713
3187,89,3175,2024-07-01,"no median",NA,NA,"cable","both sides",39.7739437478058,-120.620456577209
1407,89,3175,2022-10-01,"no median",NA,NA,NA,NA,39.7770992170553,-120.621034977982
738,395,6300,2023-11-01,"vegetative, thrie beam","sparse shrubs/trees","40-50 meters","thrie beam",NA,39.7755653837355,-120.038962015385
1685,395,6300,2023-11-01,"vegetative","sparse shrubs/trees","40-50 meters",NA,NA,39.7760623490982,-120.038944494793
219,395,6300,2023-11-01,"vegetative","sparse shrubs/trees","10-20 meters",NA,NA,39.7831882982015,-120.038738464608
3793,70,5125,2022-10-01,"no median",NA,NA,"rocks","one side only",39.7840500933372,-120.619284235379
2988,70,5125,2022-10-01,"no median",NA,NA,NA,NA,39.7775563766255,-120.60735964773
1256,70,5125,2022-10-01,"no median",NA,NA,NA,NA,39.7768115032483,-120.606482488576
2153,70,5125,2022-10-01,"no median",NA,NA,NA,NA,39.7833850959454,-120.55358884445
1973,70,5125,2022-10-01,"no median","pull-out",NA,"cable",NA,39.7849779148989,-120.549125054078
3417,70,5125,2022-10-01,"no median",NA,NA,NA,NA,39.7853467817287,-120.548101234384
1270,70,5125,2022-10-01,"no median",NA,NA,NA,NA,39.7858300252356,-120.546708130576
1519,70,5125,2022-10-01,"no median",NA,NA,"cable",NA,39.7922702799495,-120.533993435449
347,70,5125,2022-10-01,"no median",NA,NA,NA,NA,39.7948956096447,-120.528905070413
1828,70,5125,2022-10-01,"no median",NA,NA,"cable",NA,39.7972063286092,-120.52442026918
2229,70,5125,2022-10-01,"no median",NA,NA,NA,"intersection",39.804274337091,-120.509530102332
3589,70,5125,2022-10-01,"no median",NA,NA,"thrie beam","both sides",39.8060451786421,-120.502607437783
3608,70,5125,2022-10-01,"no median",NA,NA,NA,NA,39.8068136889007,-120.500325658103
2350,70,5125,2022-10-01,"no median",NA,NA,NA,NA,39.8076562700209,-120.485036573579
2194,70,6250,2022-10-01,"no median",NA,NA,"thrie beam","one side",39.8059043681921,-120.477816397109
3959,395,6300,2024-08-01,"no median",NA,NA,NA,NA,39.7935253746963,-120.037379439709
1392,395,6300,2023-11-01,"no median",NA,NA,NA,NA,39.7952397792924,-120.036812204919
700,395,6300,2019-02-01,"no median",NA,NA,NA,NA,39.8077994735669,-120.033166728362
1705,395,6300,2024-08-01,"no median",NA,NA,NA,NA,39.8088436008516,-120.033130846311
1715,395,6300,2024-08-01,"no median",NA,NA,"cable",NA,39.8098802943402,-120.033165534961
1618,395,6300,2024-08-01,"no median",NA,NA,"cable",NA,39.8164935453409,-120.03452864638
1345,70,4200,2022-10-01,"no median",NA,NA,"cable",NA,39.7973897669243,-120.136616297304
458,70,4200,2022-10-01,"no median",NA,NA,"cable",NA,39.7970841080452,-120.133629699151
2938,70,4200,2024-08-01,"no median",NA,NA,NA,NA,39.796142436924,-120.12513720232
2226,70,4200,2024-08-01,"no median",NA,NA,NA,NA,39.7936550938076,-120.117956075313
1480,70,4200,2022-10-01,"no median",NA,NA,NA,NA,39.7894208751733,-120.093093218377
1105,70,4200,2022-10-01,"no median",NA,NA,NA,NA,39.7873483281629,-120.083406817571
3752,70,4200,2024-08-01,"no median",NA,NA,"thrie beam","both sides",39.7815016952471,-120.061992903849
494,70,4200,2022-10-01,"no median",NA,NA,NA,NA,39.7802114370083,-120.057252178945
